Topic,Count,Name,Representation,Representative_Docs
9,462,9_ring_ring nasdaq_bell_nasdaq stock,"['ring', 'ring nasdaq', 'bell', 'nasdaq stock', 'closing bell', 'market closing', 'closing', 'stock market', 'opening bell', 'market opening']","['Global X to Ring The Nasdaq Stock Market Closing Bell', 'E! to Ring The Nasdaq Stock Market Opening Bell', 'E! to Ring The Nasdaq Stock Market Closing Bell']"
10,456,10_stake_acquire_blackstone_brookfield,"['stake', 'acquire', 'blackstone', 'brookfield', 'billion', 'completes', 'blackstone real', 'acquires', 'majority stake', 'blackstone buy']","['Resource REIT to be Acquired by Blackstone Real Estate Income Trust in $3.7 Billion Transaction', 'Blackstone to Acquire Majority Stake in Spanx in $1.2 Billion Deal', 'WPT Industrial Real Estate Investment Trust to Be Acquired by Blackstone Real Estate Income Trust in US$3.1 Billion Transaction']"
11,453,11_jobs_cut_cuts_layoffs,"['jobs', 'cut', 'cuts', 'layoffs', 'job cuts', '000 jobs', 'plans cut', 'job', 'lay', 'workforce']","['__COMPANY__ to cut 3,000 jobs in second quarter - source', '__COMPANY__ Plans to Cut Hundreds of Jobs', '__COMPANY__ to Cut 1,500 Jobs']"
12,411,12_appoints_board directors_board_directors,"['appoints', 'board directors', 'board', 'directors', 'officer', 'head', 'chief', 'names', 'executive', 'vice']","['Invesco Ltd. Announces Changes to its Board of Directors', 'Blackstone Announces Appointment of Frederic Kerrest, Executive Vice Chairman, Chief Operating Officer, and Co-Founder of Okta, as Senior Advisor', 'Nasdaq Announces the Board of Directors of its U.S. Exchanges']"
13,397,13_roundup_win_ot_spurs,"['roundup', 'win', 'ot', 'spurs', 'vs', 'nba', 'jets', 'past', 'sharks', 'game']","['MLB roundup: Phillies top Marlins for 5th straight win', 'NBA roundup: Lakers lose, Clippers win in return to action', ""NHL roundup: Canucks win on Drew O’Connor's OT penalty shot""]"
14,306,14_foundation_grants_support_grant,"['foundation', 'grants', 'support', 'grant', 'donates', 'awards', 'million', 'awards million', 'relief', 'homeownership']","['__TICKER__ Group Foundation Awards Over $2.2 Million in Grants to Support College and Career Success for Illinois Students', '__COMPANY__ Foundation Awards $7.5 Million to LISC NY to Expand Homeownership for Families of Color', '__COMPANY__ Foundation Awards $7.5 Million to LISC Houston to Expand Homeownership for Families of Color']"
15,305,15_amp 500_500 nasdaq_500_dow amp,"['amp 500', '500 nasdaq', '500', 'dow amp', 'market today', 'today dow', 'dow', 'today', 'amp', 'nasdaq futures']","['Stock market today: Dow, S&amp;P 500, Nasdaq futures rise as Trump-EU trade deal kicks off huge week in markets', 'Stock market today: Dow, S&amp;P 500, Nasdaq futures rise as Wall Street looks to big bank earnings', 'Stock market today: Dow, S&amp;P 500, Nasdaq futures take a breather']"
16,300,16_need_need know_know_just,"['need', 'need know', 'know', 'just', 'isn', 'investors need', 'wants', 'means', 'investors', 'doesn']","['Why you should carefully consider what Jamie Dimon, Elon Musk and American Express just told the investing world', ""What You Need to Know Ahead of BlackRock's Earnings Release"", 'Why you should carefully consider what Jamie Dimon just told the investing world']"
17,297,17_notes_senior notes_floating rate_floating,"['notes', 'senior notes', 'floating rate', 'floating', 'redemption', 'senior', 'rate senior', 'offering', 'announces redemption', '000 000']","['__COMPANY__ Announces Redemption of Floating Rate Senior Notes Due May 2024', '__COMPANY__ Announces Redemption of Floating Rate Senior Notes Due 2024', '__COMPANY__ Announces Redemption of Floating Rate Senior Notes Due 2025']"
18,210,18_world_companies_countries_companies world,"['world', 'companies', 'countries', 'companies world', 'world 15', '20', '25', 'biggest', '15', 'highest']","['25 Most Profitable Companies in the World', '15 Biggest Asset Management Companies in the World', '15 Biggest Holding Companies in the World']"
19,198,19_market opening_opening bell_opening_ring nasdaq,"['market opening', 'opening bell', 'opening', 'ring nasdaq', 'ring', 'bell', 'nasdaq stock', 'stock market', 'nasdaq', 'market']","['PayPal Holdings, Inc. ( __TICKER__ ) to Ring The Nasdaq Stock Market Opening Bell', 'T-Mobile US, Inc. ( __TICKER__ ) to Ring The Nasdaq Stock Market Opening Bell', '(R)T.E.A.L. to Ring The Nasdaq Stock Market Opening Bell']"
20,193,20_stocks buy_dividend stocks_buy hold_hold,"['stocks buy', 'dividend stocks', 'buy hold', 'hold', 'buy', 'dividend', 'cheap', 'stocks', 'hold forever', 'hold long']","['5 Brilliant Dividend Stocks to Buy Now and Hold for the Long Term', '7 Safe Stocks to Buy and Hold Onto Forever', '7 Safe Stocks to Buy and Hold Forever']"
21,184,21_reports_quarter_results_reports quarter,"['reports', 'quarter', 'results', 'reports quarter', 'reports second', 'second quarter', 'results brookfield', 'quarter 2025', 'second', 'management reports']","['Ameriprise Financial Reports Second Quarter 2022 Results', 'T. ROWE PRICE GROUP REPORTS SECOND QUARTER 2025 RESULTS', 'Ameriprise Financial Reports Second Quarter 2025 Results']"
22,179,22_good stock_good_stock buy_stock invest,"['good stock', 'good', 'stock buy', 'stock invest', 'hold 20', 'best depressed', 'depressed stock', 'buy', 'depressed', 'best stock']","['Is BAP A Good Stock To Buy Now?', 'Is HDB A Good Stock To Buy According To Hedge Funds?', 'Is KDP A Good Stock To Buy Now?']"
23,178,23_north nasdaq_stockholm welcomes_north_nasdaq stockholm,"['north nasdaq', 'stockholm welcomes', 'north', 'nasdaq stockholm', 'stockholm', 'welcomes', 'premier nasdaq', 'north premier', 'premier', 'nasdaq']","['Nasdaq Stockholm Welcomes Brinova to First North Premier', 'Nasdaq Stockholm Welcomes B3IT to First North Premier', 'Nasdaq Stockholm Welcomes I-Tech to First North']"
24,174,24_awards_award_recognized_consecutive year,"['awards', 'award', 'recognized', 'consecutive year', 'wins', 'named', 'consecutive', 'named best', 'equality', 'excellence']","['Ameriprise Financial Named ""Best Place to Work"" on the Disability Equality Index® for the Fourth Consecutive Year', 'Ameriprise Financial Named ""Best Place to Work"" on the Disability Equality Index® for the Third Consecutive Year', 'Ameriprise Financial Named a ""Best Place to Work"" on the Disability Equality Index® for the Second Consecutive Year']"
25,172,25_portfolio invested_warren buffett_warren_buffett,"['portfolio invested', 'warren buffett', 'warren', 'buffett', 'invested', 'billion portfolio', 'portfolio', 'invested stocks', 'buffett portfolio', 'stocks warren']","[""73% of Warren Buffett's Portfolio Is Invested in These 5 Stocks"", ""65% of Warren Buffett's Portfolio Is Invested in These 4 Stocks"", ""80% of Warren Buffett's Portfolio Is Invested in These 7 Stocks""]"
26,167,26_earnings highlights_highlights strong_highlights record_2025 earnings,"['earnings highlights', 'highlights strong', 'highlights record', '2025 earnings', 'highlights', '2024 earnings', 'strong', 'q4 2024', 'q1 2025', 'q3 2025']","['__COMPANY__ Chase &amp; Co __TICKER__ Q3 2025 Earnings Call Highlights: Strong Revenue Growth Amid ...', 'Nasdaq Inc __TICKER__ Q3 2025 Earnings Call Highlights: Strong Revenue Growth and Strategic ...', '__COMPANY__ Inc __TICKER__ Q3 2025 Earnings Call Highlights: Strong Revenue Growth and Strategic ...']"
27,158,27_undervalued_2023 undervalued_undervalued stocks_stocks buy,"['undervalued', '2023 undervalued', 'undervalued stocks', 'stocks buy', 'performing', 'best undervalued', 'best performing', 'undervalued dividend', '10 undervalued', 'buy']","['7 Undervalued Stocks to Buy Before Everyone Else', '7 Most Undervalued Stocks to Buy Now', '7 Undervalued Stocks to Buy']"
28,157,28_maintains_maintains buy_outlook highlights_zacks industry,"['maintains', 'maintains buy', 'outlook highlights', 'zacks industry', 'industry outlook', 'equity capital', 'flagged block', 'flagged', 'block trades', 'capital markets']","['Zacks Industry Outlook Highlights __TICKER__ Holdings, __COMPANY__ and __COMPANY__', 'Zacks Industry Outlook Highlights __TICKER__ Holdings, __COMPANY__ PLC and __COMPANY__', 'Zacks Industry Outlook Highlights __TICKER__ , __COMPANY__ and __COMPANY__']"
29,156,29_expands_expand_partnership_suite,"['expands', 'expand', 'partnership', 'suite', 'access', 'enhance', 'capabilities', 'enhances', 'expanding', 'etf suite']","['Cboe Europe Derivatives Secures Support of Key Participants for September 2021 Launch', 'Cboe Europe Derivatives Secures Support of Key Participants for Single Stock Options Launch', 'California Credit Union Partners with Ameriprise Financial to Expand and Enhance its Investment Solutions']"
30,153,30_earnings q4_earnings q1_earnings q2_earnings q3,"['earnings q4', 'earnings q1', 'earnings q2', 'earnings q3', 'earnings transcript', 'transcript', 'q2 2023', '2023', 'q4', 'q4 2024']","['Q4 2023 T Rowe Price Group Inc Earnings Call', 'Q1 2023 BlackRock TCP Capital Corp Earnings Call', 'Q2 2023 BlackRock TCP Capital Corp Earnings Call']"
31,150,31_drivers_factors influence_research_new research,"['drivers', 'factors influence', 'research', 'new research', 'factors', 'influence', 'consolidated', 'renewed outlook', 'drivers growth', 'key drivers']","['New Research: Key Drivers of Growth for Scana, __COMPANY__ Group, FMC, DineEquity, Ignyta, and Barnes & Noble — Factors of Influence, Major Initiatives and Sustained Production', 'New Research: Key Drivers of Growth for __COMPANY__ , Novavax, Xerox, Sarepta Therapeutics, Semgroup, and Toll Brothers — Factors of Influence, Major Initiatives and Sustained Production', 'New Research: Key Drivers of Growth for __COMPANY__ , Snap Inc, AT&T, Facebook, Alphabet, and IBM - A Look Behind the Scenes at Consolidated Results, Factors of Influence, Major Initiatives and Sustained Production']"
32,146,32_press release_sanofi_phase_press,"['press release', 'sanofi', 'phase', 'press', 'disease', 'treatment', 'fda', 'release sanofi', 'sclerosis', 'multiple sclerosis']","['Press Release: Sanofi’s rilzabrutinib earns orphan designation in the EU for IgG4-related disease', 'Quantum Biopharma Announces Positive Results of the Clinical Study Report (CSR) for the Phase 1 Multiple Ascending Dose (MAD) Clinical Trial of Experimental Multiple Sclerosis Drug Lucid-21-302 (Lucid- __TICKER__ )', 'Press Release: Dupixent® (dupilumab) approved by European Commission for children aged 6 to 11 years with severe asthma with type 2 inflammation']"
33,142,33_buy hold_got 000_got_000,"['buy hold', 'got 000', 'got', '000', 'hold', 'stocks buy', 'dividend stocks', 'buy', 'forever', 'buy today']","['Got $1,000? 4 Buffett Stocks to Buy and Hold Forever', 'Got $1,000? 5 Buffett Stocks to Buy and Hold Forever', 'Got $1,000? 5 Buffett Stocks to Buy and Hold Forever.']"
34,141,34_revenue estimates_earnings revenue_estimates_revenue,"['revenue estimates', 'earnings revenue', 'estimates', 'revenue', 'earnings estimates', 'beats', 'tops', 'revenues estimates', 'beats q2', 'q1 earnings']","['__COMPANY__ __TICKER__ Beats Q1 Earnings and Revenue Estimates', '__COMPANY__ __TICKER__ Beats Q2 Earnings and Revenue Estimates', '__TICKER__ __TICKER__ Beats Q2 Earnings and Revenue Estimates']"
35,141,35_bitcoin_000_bitcoin hits_bitcoin price,"['bitcoin', '000', 'bitcoin hits', 'bitcoin price', 'hits', 'blackrock etf', '30 000', 'month high', 'high', 'high bitcoin']","['Bitcoin hits more than 1-year high amid BlackRock ETF excitement', 'UPDATE 1-Bitcoin hits two-month high above $30,000 in volatile week', 'UPDATE 1-Bitcoin hits more than 1-year high amid BlackRock ETF excitement']"
36,141,36_buy sell_stock buy_sell_buy,"['buy sell', 'stock buy', 'sell', 'buy', 'stock', 'sell hold', 'sell walmart', 'sell general', 'unh stock', 'partners buy']","['Is IBM Stock A Buy or Sell?', 'Is HAS Stock A Buy or Sell?', 'Is SO Stock A Buy or Sell?']"
37,139,37_key metrics_metrics_look key_look,"['key metrics', 'metrics', 'look key', 'look', 'key', 'versus estimates', 'earnings taking', 'metrics versus', 'taking look', 'versus']","['__TICKER__ __TICKER__ Q3 Earnings: Taking a Look at Key Metrics Versus Estimates', '__COMPANY__ __TICKER__ Q2 Earnings: Taking a Look at Key Metrics Versus Estimates', '__TICKER__ __TICKER__ Q2 Earnings: Taking a Look at Key Metrics Versus Estimates']"
38,136,38_talks_talks buy_stake_said,"['talks', 'talks buy', 'stake', 'said', 'blackstone talks', 'blackstone', 'bid', 'sources', 'sale', 'brookfield']","['Brookfield in talks to buy majority stake in credit manager Castlelake, FT reports', 'BlackRock Said to Weigh Sale of Stake in Aramco Gas Pipelines', 'Blackstone in Talks to Buy Minority Stake in India’s Sify']"
39,134,39_celebration_bell celebration_celebration ipo_market opening,"['celebration', 'bell celebration', 'celebration ipo', 'market opening', 'opening bell', 'opening', 'ring nasdaq', 'ring', 'bell', 'nasdaq stock']","['Atlassian ( __TICKER__ ) to Ring The Nasdaq Stock Market Opening Bell in Celebration of IPO', 'Okta, Inc. ( __TICKER__ ) to Ring The Nasdaq Stock Market Opening Bell in Celebration of Its IPO', 'Match Group, Inc. ( __TICKER__ ) to Ring The Nasdaq Stock Market Opening Bell in Celebration of IPO']"
40,132,40_raise_raise billion_seeks_billion,"['raise', 'raise billion', 'seeks', 'billion', 'seeks billion', 'ipo', 'billion hong', 'billion ipo', 'backed', 'billion valuation']","['Bilibili Poised to Raise $2.6 Billion in Hong Kong Listing', 'JD Logistics Seeks Up to $3.4 Billion in Hong Kong IPO', 'JD Logistics Poised to Raise $3.2 Billion in Hong Kong IPO']"
41,131,41_payments_solution_digital_ant international,"['payments', 'solution', 'digital', 'ant international', 'payment', 'platform', 'launches', 'mortgage technology', 'integration', 'mellon']","['__COMPANY__ __TICKER__ Partners With Coinbase to Expand Digital Asset Payment Solutions for Institutional Clients', 'Ant International, __TICKER__ join forces on blockchain-based cross-border payment settlements', '__TICKER__ Signs MoU With Ant International To Develop Blockchain-based Tokenised Deposit']"
42,128,42_according_buy according_according billionaire_10 best,"['according', 'buy according', 'according billionaire', '10 best', '10', 'billionaire', 'stocks buy', 'capital 10', 'management 10', 'best dividend']","['10 Best Dividend Stocks to Buy According to Billionaire Ray Dalio', '10 Best Cheap Stocks to Buy According to Billionaire Mario Gabelli', '10 Best Stocks to Buy According to Billionaire Mario Gabelli']"
43,127,43_know_market gains_facts_gains know,"['know', 'market gains', 'facts', 'gains know', 'know chase', 'gains', 'dips', 'facts note', 'sinks market', 'lags market']","['__COMPANY__ __TICKER__ Stock Sinks As Market Gains: What You Should Know', '__TICKER__ __TICKER__ Stock Sinks As Market Gains: What You Should Know', '__COMPANY__ Chase &amp; Co. __TICKER__ Stock Sinks As Market Gains: What You Should Know']"
44,122,44_form_plc_plc amendment_plc form,"['form', 'plc', 'plc amendment', 'plc form', 'group plc', 'amendment form', 'amendment', 'form blue', 'prism group', 'blue prism']","['Form 8.3 - BLUE PRISM GROUP PLC - AMENDMENT', 'Form 8.3 - BLUE PRISM GROUP PLC Amendment', 'Form 8.3 - Blue Prism Group plc - Amendment']"
45,121,45_nasdaq reports_reports strong_delivers_results delivers,"['nasdaq reports', 'reports strong', 'delivers', 'results delivers', 'reports', 'strong', 'quarter', 'results', 'exchange reports', 'delivers strong']","['Nasdaq Reports First Quarter 2022 Results; Delivers Strong Growth in Solutions Segments Revenue', 'Nasdaq Reports Fourth Quarter and Full Year 2020 Results; Delivers Strong Growth in Revenue and EPS', 'Nasdaq Reports Fourth Quarter and Full Year 2021 Results; Delivers Strong Growth in Revenue and EPS']"
46,120,46_market closing_closing bell_closing_ring nasdaq,"['market closing', 'closing bell', 'closing', 'ring nasdaq', 'ring', 'bell', 'nasdaq stock', 'stock market', 'nasdaq', 'holdings ring']","['LPL Financial Holdings Inc. ( __TICKER__ ) to Ring The Nasdaq Stock Market Closing Bell', 'PayPal Holdings, Inc. ( __TICKER__ ) to Ring The Nasdaq Stock Market Closing Bell', 'First Foundation, Inc. ( __TICKER__ ) to Ring The Nasdaq Stock Market Closing Bell']"
47,120,47_smart money_money right_smart_money,"['smart money', 'money right', 'smart', 'money', 'right', 'did smart', 'money play', 'correctly', 'right piling', 'did']","['Was The Smart Money Right About NVIDIA (NVDA)?', 'Was The Smart Money Right About Piling Into P&amp;G?', 'Was The Smart Money Right About Visa Inc (V)?']"
48,118,48_premarket_rise premarket_fall premarket_fall,"['premarket', 'rise premarket', 'fall premarket', 'fall', 'rise', 'falls', 'tesla', 'gamestop', 'apple', 'boeing']","['Tesla, AT&amp;T and Bed Bath &amp; Beyond fall premarket; IBM rises', 'Exxon Mobil, UPS and FedEx Rise Premarket; Tesla, AT&amp;T Fall', 'Reddit, Tesla and Boeing rise premarket; Take-Two, GameStop fall']"
49,118,49_funds right_hedge funds_right_hedge,"['funds right', 'hedge funds', 'right', 'hedge', 'funds', 'right stock', 'baba hedge', 'expert investors', 'baba', 'investors right']","['Were Hedge Funds Right About Intercontinental Exchange Inc (ICE)?', 'Were Hedge Funds Right About BlackRock, Inc. (BLK)?', 'Were Hedge Funds Right About Visa Inc (V)?']"
50,118,50_zacks analyst_analyst blog_blog_blog highlights,"['zacks analyst', 'analyst blog', 'blog', 'blog highlights', 'zacks', 'highlights', 'analyst', 'featured highlights', 'com featured', 'zacks com']","['The Zacks Analyst Blog Highlights NVIDIA, Coinbase Global, Block and __TICKER__ Group', 'The Zacks Analyst Blog Highlights Meta Platforms, __COMPANY__ Chase and Intercontinental Exchange', 'The Zacks Analyst Blog Highlights Apple, __COMPANY__ Chase and Visa']"
51,116,51_hedge funds_hedge_funds_crazy,"['hedge funds', 'hedge', 'funds', 'crazy', 'funds selling', 'funds aren', 'aren crazy', 'anymore', 'funds snapping', 'anymore hedge']","['Hedge Funds Aren’t Crazy About Twilio Inc. (TWLO) Anymore', 'Hedge Funds Aren’t Crazy About Tesla Inc. (TSLA) Anymore', 'Hedge Funds Aren’t Crazy About Ford Motor Company (F) Anymore']"
52,116,52_leave_step_memo_leave memo,"['leave', 'step', 'memo', 'leave memo', 'retire', 'depart', 'chief', 'stepping', 'gorman', 'head']","['__COMPANY__ CEO of institutional clients group Paco Ybarra to leave - memo', 'MOVES- __COMPANY__ executive Chris Kojima to leave, memo says', '__COMPANY__ executive Chris Kojima to leave, memo says']"
53,113,53_canada announces_distributions ishares_blackrock canada_distributions,"['canada announces', 'distributions ishares', 'blackrock canada', 'distributions', 'ishares', 'ishares etfs', 'cash distributions', 'etfs blackrock', 'canada', 'announces final']","['BlackRock(R) Canada Announces Final Annual Reinvested Distributions for the iShares(R) Premium Money Market ETF', 'BlackRock® Canada Announces May Cash Distributions for the iShares® ETFs', 'BlackRock(R) Canada Announces May Cash Distributions for the iShares(R) ETFs']"
54,112,54_amp 500_500_500 nasdaq_today dow,"['amp 500', '500', '500 nasdaq', 'today dow', 'market today', 'dow amp', '500 slips', 'dow', 'amp', 'today']","[""Stock market today: Dow, S&amp;P 500, Nasdaq slide as Trump threatens 'massive increase' on China tariffs"", 'Stock market today: Dow, S&amp;P 500, Nasdaq futures slide as US-China trade tensions rattle nerves', 'Stock market today: Dow, S&amp;P 500, Nasdaq slide as US-China trade tensions rattle nerves']"
55,112,55_market opening_opening bell_opening_ring nasdaq,"['market opening', 'opening bell', 'opening', 'ring nasdaq', 'ring', 'bell', 'nasdaq stock', 'corporation ring', 'stock market', 'nasdaq']","['Pool Corporation ( __TICKER__ ) to Ring The Nasdaq Stock Market Opening Bell', 'Northern Trust Corporation ( __TICKER__ ) to Ring The Nasdaq Stock Market Opening Bell', 'Scholastic Corporation ( __TICKER__ ) to Ring The Nasdaq Stock Market Opening Bell']"
56,111,56_group launch_launch_futures_options,"['group launch', 'launch', 'futures', 'options', 'group', 'weekly options', 'contracts', 'launch mini', 'futures group', 'launch micro']","['__TICKER__ Group to Launch E-mini S&amp;P 500 Tuesday and Thursday Weekly Options on April 25', '__TICKER__ Group to Launch E-mini Nasdaq-100 Tuesday and Thursday Weekly Options on October 3', '__TICKER__ Group to Launch Micro Bitcoin Futures on May 3']"
57,109,57_underwrite_raises_management raises_firms underwrite,"['underwrite', 'raises', 'management raises', 'firms underwrite', 'million', 'billion senior', 'underwrite billion', 'partners diverse', 'billion', 'unsecured debt']","['__COMPANY__ Partners with Diverse Firms to Underwrite $1 Billion of Senior Debt', '__COMPANY__ Partners With Diverse Firms to Underwrite $1.5 Billion of Senior Unsecured Debt', '__COMPANY__ Partners with Diverse Firms to Underwrite $2 Billion of Senior Unsecured Debt']"
58,107,58_today_popped_dropped_stock popped,"['today', 'popped', 'dropped', 'stock popped', 'falling today', 'stock dropped', 'popped today', 'fell', 'tumbled', 'falling']","['Why AMC Networks Stock Dropped, Then Popped Today', 'Why Rivian Stock Popped Today', 'Why IBM Stock Popped Today']"
59,106,59_price target_target raised_target_raised,"['price target', 'target raised', 'target', 'raised', 'price', 'target lowered', 'lowered', 'stock price', 'isi', 'evercore isi']","['Trane Technologies stock price target raised to $407 by __COMPANY__', '__COMPANY__ Keeps Buy Rating, 12 Month Price Target Raised By $4 at __TICKER__', '__COMPANY__ price target raised to $95 from $90 at __COMPANY__']"
60,105,60_invest invesco_invest_invest ishares_invesco amp,"['invest invesco', 'invest', 'invest ishares', 'invesco amp', '500 equal', 'invesco', 'equal weight', 'equal', 'etf', 'weight']","['Should You Invest in the Invesco S&amp;P 500 Equal Weight Technology ETF (RSPT)?', 'Should You Invest in the Invesco S&amp;P 500 Equal Weight Energy ETF (RSPG)?', 'Should You Invest in the Invesco S&amp;P 500 Equal Weight Energy ETF (RYE)?']"
61,104,61_advisory pre_nyse content_content advisory_market update,"['advisory pre', 'nyse content', 'content advisory', 'market update', 'content', 'pre market', 'nyse', 'advisory', 'pre', 'update']","['NYSE Content advisory: Pre-market update + Federal Reserve to Meet', 'NYSE Content Advisory: Pre-Market update + Tesla to report earnings', 'NYSE Content advisory: Pre-Market Update + Federal Reserve Decision Due']"
62,104,62_amp p500_p500_amp 500_500 stocks,"['amp p500', 'p500', 'amp 500', '500 stocks', '500', 'session', 'p500 stocks', 'losers', 'p500 index', 'gainers losers']","[""Explore the top gainers and losers within the S&amp;P500 index in today's session."", ""Tuesday's session: top gainers and losers in the S&amp;P500 index"", ""Tuesday's pre-market session: top gainers and losers in the S&amp;P500 index""]"
63,104,63_story_recent_recent developments_developments,"['story', 'recent', 'recent developments', 'developments', 'shaping', 'evolving', 'recent analyst', 'narrative', 'analyst', 'shifting']","['How Recent Developments Are Rewriting the Story for Alibaba', 'How Recent Developments Are Rewriting the Story for T. Rowe Price Group', 'How Recent Developments Are Shaping the Invesco Investment Story']"
64,101,64_fossil_fossil fuel_fuel lending_anti esg,"['fossil', 'fossil fuel', 'fuel lending', 'anti esg', 'capital rule', 'fed proposes', 'proposes easing', 'pension leaders', 'trump', 'nyc pension']","['WRAPUP 1-Bank shareholder proposals to curb new fossil fuel lending get slim support', 'UPDATE 1-NYC pension leaders to urge fossil fuel lending curbs, late boost for activists', 'NYC pension leaders urge fossil fuel lending curbs, late boost for activists']"
65,99,65_main market_main_market nasdaq_stockholm welcomes,"['main market', 'main', 'market nasdaq', 'stockholm welcomes', 'nasdaq stockholm', 'stockholm', 'welcomes', 'group main', 'baltic', 'nasdaq']","['NASDAQ STOCKHOLM WELCOMES WISE GROUP TO THE MAIN MARKET', 'Nasdaq Stockholm Welcomes Moment Group to the Main Market', 'Nasdaq Stockholm Welcomes Momentum Group to the Main Market']"
66,95,66_moving markets_moving_markets_markets futures,"['moving markets', 'moving', 'markets', 'markets futures', 'markets powell', 'markets fed', 'markets bank', 'earnings moving', 'powell', 'gdp']","[""Powell's speech, Bitcoin, retail sales - what's moving markets"", ""Trump, Powell's speech, Goldman earnings - what's moving markets"", ""Powell's speech, Netflix, Tesla earnings - what's moving markets""]"
67,95,67_buy 10_best_stocks buy_10 best,"['buy 10', 'best', 'stocks buy', '10 best', 'buy 12', '11 best', 'buy best', '12 best', 'buy 11', 'buy']","['10 Best European Bank Stocks to Buy Now', '10 Best European Stocks to Buy Now', '10 Best US Stocks to Buy Now']"
68,94,68_stock picks_10 stock_picks_portfolio 10,"['stock picks', '10 stock', 'picks', 'portfolio 10', '10', 'picks billionaire', 'capital 10', 'picks 10', 'billionaire', 'capital']","['Kevin O’Leary’s Stock Portfolio: 10 Stock Picks for 2023', 'Jim Cramer’s Top 10 Stock Picks for 2022', 'Aquamarine Capital’s Top 10 Stock Picks']"
