Topic,Count,Name,Representation,Representative_Docs
9,181,9_financing_million_loan_billion,"['financing', 'million', 'loan', 'billion', 'secures', 'solar', 'debt', 'energy', 'facility', 'closes']","['Lydian Energy Announces $689 Million Financing for Solar and Battery Storage Projects', 'Origis Energy Announces $545 Million Financing for Texas Solar Portfolio', 'Origis Energy closes financing for two solar projects in US']"
10,179,10_know_bank_investors_group,"['know', 'bank', 'investors', 'group', 'trending stock', 'strategic', 'fiserv', 'investors respond', 'canada', 'fund']","['__COMPANY__ __TICKER__ Is a Trending Stock: Facts to Know Before Betting on It', '__COMPANY__ Inc. __TICKER__ Is a Trending Stock: Facts to Know Before Betting on It', 'The __COMPANY__ Group, Inc. __TICKER__ Is a Trending Stock: Facts to Know Before Betting on It']"
11,154,11_pt_target_price target_price,"['pt', 'target', 'price target', 'price', 'lifts', 'lifts pt', 'cuts', 'cuts pt', 'rating', 'keeps']","['__TICKER__ Lifts Altria (MO) Price Target, Keeps Buy Rating', '__COMPANY__ Keeps Buy Rating, 12 Month Price Target Raised By $4 at __TICKER__', '__TICKER__ Cuts its Price Target on Ares Management Corporation (ARES) to $148 and Keeps a Neutral Rating']"
12,140,12_board_appoints_advisors_directors,"['board', 'appoints', 'advisors', 'directors', 'board directors', 'advisor', 'team', 'director', 'hires', 'financial advisor']","['Five __TICKER__ advisor teams in the Southeast Region named to the Forbes America’s Top Wealth Management Teams list', '__COMPANY__ Recruits $1.7 Billion __TICKER__ Financial Advisor Team', 'Changes to the __TICKER__ Board of Directors']"
13,135,13_dow_today dow_market today_nasdaq,"['dow', 'today dow', 'market today', 'nasdaq', 'stock market', '500 nasdaq', 'today', 'dow amp', 'amp 500', '500']","['Stock market today: Dow, S&amp;P 500, Nasdaq futures slide as bank earnings roll in, tariff ruling looms', 'Stock market today: Dow, S&amp;P 500, Nasdaq futures slip as bank earnings roll in, tariff ruling looms', 'Stock market today: Dow, S&amp;P 500, Nasdaq futures slip with bank earnings and inflation data on deck']"
14,128,14_gold_silver_gold prices_gold rises,"['gold', 'silver', 'gold prices', 'gold rises', 'metals', 'prices', 'gold futures', 'gold price', 'precious', 'data gold']","['Gold Prices Rise as Traders Await Key U.S. Inflation Data', 'Gold Rises Ahead of Fed Meeting', 'Gold Rises Ahead of U.S. Jobs Data']"
15,119,15_rally_year_late consider_late,"['rally', 'year', 'late consider', 'late', 'share price', 'consider', 'strong', 'attractive', 'year share', 'share']","['Is It Too Late To Consider __COMPANY__ __TICKER__ After Its Strong Multi Year Share Price Run', 'Is It Too Late To Consider __COMPANY__ __TICKER__ After Its Strong Multi‐Year Rally?', 'Is It Too Late To Consider __COMPANY__ __TICKER__ After Its Strong Multi Year Rally?']"
16,114,16_sanofi_press release_press_release,"['sanofi', 'press release', 'press', 'release', 'release sanofi', 'sanofi enxtpa', 'enxtpa', 'disease', 'phase', 'eu']","['Press Release: Sanofi’s Rezurock approved in the EU to treat chronic graft-vs-host disease', 'Press Release: Sanofi’s Rezurock recommended for EU approval by the CHMP to treat chronic graft-vs-host disease', 'Press Release: Sanofi’s rilzabrutinib earns orphan designation in the EU for IgG4-related disease']"
17,108,17_private_private credit_credit_apollo,"['private', 'private credit', 'credit', 'apollo', 'redemptions', 'owl', 'credit fund', 'withdrawals', 'credit risks', 'blue owl']","['__COMPANY__ , Cliffwater Limit Private Credit Redemptions', 'Private credit risks: Why this is not 2008', 'Jamie Dimon Basically Says: Some People In Private Credit Have No Business Being In Private Credit']"
18,108,18_buyback_share buyback_share_shares,"['buyback', 'share buyback', 'share', 'shares', 'programme', 'announces', 'series', 'preferred', 'repurchase', 'transactions']","['__COMPANY__ share buyback programme - Declaration of transactions in own shares from May 26, 2025 to May 30, 2025', '__COMPANY__ share buyback programme - Declaration of transactions in own shares from December 8, 2025 to December 12, 2025', '__COMPANY__ share buyback programme - Declaration of transactions in own shares from December 1, 2025 to December 5, 2025']"
19,103,19_today_stock_nio_stock today,"['today', 'stock', 'nio', 'stock today', 'stock trades', 'shares', 'stock trading', 'trades', 'higher today', 'rivian']","['Why __COMPANY__ __TICKER__ Stock Is Trading Lower Today', 'Why __COMPANY__ __TICKER__ Stock Is Trading Up Today', 'Why __COMPANY__ __TICKER__ Stock Is Down Today']"
20,100,20_dividend_dividend stock_stock right_great dividend,"['dividend', 'dividend stock', 'stock right', 'great dividend', 'preferred', 'right', 'stock', 'preferred stock', 'declares', 'dividends']","['__COMPANY__ __TICKER__ is a Top Dividend Stock Right Now: Should You Buy?', 'Why __TICKER__ __TICKER__ is a Great Dividend Stock Right Now', 'Why __COMPANY__ __TICKER__ is a Great Dividend Stock Right Now']"
21,96,21_stock_stock buy_buy_momentum stock,"['stock', 'stock buy', 'buy', 'momentum stock', 'momentum', 'finance', 'buy stock', 'great momentum', 'outpacing finance', 'stock outpacing']","['The __COMPANY__ Corporation __TICKER__ is a Great Momentum Stock: Should You Buy?', ""Here's Why The __COMPANY__ Corporation __TICKER__ is a Great Momentum Stock to Buy"", '__COMPANY__ __TICKER__ is a Great Momentum Stock: Should You Buy?']"
22,90,22_equities_equities traded_receipts_traded american,"['equities', 'equities traded', 'receipts', 'traded american', 'depositary receipts', 'american depositary', 'depositary', 'european equities', 'traded', 'trading']","['European Equities Traded in the US as American Depositary Receipts Rise in Tuesday Trading', 'European Equities Traded in the US as American Depositary Receipts Rise in Wednesday Trading', 'European Equities Traded in the US as American Depositary Receipts Rise in Thursday Trading']"
23,89,23_ipo_spacex_spacex ipo_banamex,"['ipo', 'spacex', 'spacex ipo', 'banamex', 'musk', 'billion', 'files ipo', 'stake', 'files', 'ipo buy']","['Elon Musk’s Go-To Banker Is Back in Action for the SpaceX IPO', 'SpaceX IPO Could See Massive Retail Demand', 'SpaceX IPO: Will It Be a Buy or a Bust?']"
24,87,24_amp 500_500_amp_recession,"['amp 500', '500', 'amp', 'recession', 'history says', 'history', 'stock market', 'p500', 'amp p500', 'says']","['Is __COMPANY__ Stock Outperforming the S&amp;P 500?', ""Stock Market Crash in 2026? The S&amp;P 500 Sounds an Alarm as Recession Odds Just Hit Their Highest Level in Years. Here's What History Says Happens Next."", 'The S&amp;P 500 Is Roaring by Record Highs. History Says the Stock Market Will Do This Next.']"
25,82,25_update financial_sector update_financial stocks_sector,"['update financial', 'sector update', 'financial stocks', 'sector', 'update', 'afternoon', 'financial', 'afternoon sector', 'stocks', 'late afternoon']","['Sector Update: Financial Stocks Advance Late Afternoon', 'Sector Update: Financial Stocks Decline Late Afternoon', 'Sector Update: Financial Stocks Rise Late Afternoon']"
26,82,26_yen_japan_boj_election,"['yen', 'japan', 'boj', 'election', 'ufg', 'mitsubishi', 'mitsubishi ufg', 'bank japan', 'hike', 'says']","['Bank of Japan Rate Hike Signal Supports Yen, __TICKER__ Says', 'Bank of Japan Rate Hike Signal Reinforces Yen Rebound, Says Mitsubishi UFG', 'Bank of Japan Rate Hike Expectations Continue Supporting The Yen, Says Mitsubishi UFG']"
27,81,27_micron_memory_micro_super,"['micron', 'memory', 'micro', 'super', 'super micro', 'micron stock', 'price target', 'mu', 'target', 'price']","['Why Dell Stock Just Had Its Price Target Raised—and Super Micro Didn’t', 'Micron Technology, Inc. (MU) Price Target Raised to on DRAM Strength and Memory Market Recovery', '__COMPANY__ Defends Memory Stocks Including Micron Technology (MU)']"
28,79,28_profit_profit rises_growth_2028,"['profit', 'profit rises', 'growth', '2028', '2026', 'net', 'rises', 'higher', 'revenue', 'income']","['__COMPANY__ Profit Rises on Higher Net Interest and Fees', '__COMPANY__ Profit Rises On Net Interest Income Growth', ""__COMPANY__ 's profit rises on higher interest income, fee revenue growth""]"
29,76,29_mitsubishi_mitsubishi ufg_ufg_sterling,"['mitsubishi', 'mitsubishi ufg', 'ufg', 'sterling', 'says mitsubishi', 'bank england', 'england', 'says', 'ufg says', 'central']","[""Mitsubishi UFG Comments on Sterling Ahead of Bank of England's Thursday Policy Decision"", ""Sterling Weakens Ahead of This Week's Bank of England Policy Meeting, Says Mitsubishi UFG"", 'Mitsubishi UFG Says Bank of England Policy Expectations, U.K. Political Risks in Focus for Sterling']"
30,74,30_zacks_highlights_zacks analyst_analyst blog,"['zacks', 'highlights', 'zacks analyst', 'analyst blog', 'blog', 'blog highlights', 'new strong', 'buy stocks', 'strong buy', 'outlook highlights']","['The Zacks Analyst Blog Highlights General Motors, Western Digital and __COMPANY__', 'The Zacks Analyst Blog Highlights __COMPANY__ , __COMPANY__ , __COMPANY__ , __COMPANY__ and KeyCorp', 'The Zacks Analyst Blog Highlights __COMPANY__ , __COMPANY__ and __COMPANY__']"
31,71,31_dividend stocks_dividend_tsx_tsx dividend,"['dividend stocks', 'dividend', 'tsx', 'tsx dividend', 'stocks', 'stocks consider', 'european dividend', 'consider', 'stocks watch', 'stocks tsx']","['3 TSX Dividend Stocks To Consider In Your Portfolio', '3 Top TSX Dividend Stocks To Consider With At Least 3.3% Yield', '3 TSX Dividend Stocks To Consider With Up To 4.7% Yield']"
32,70,32_conference_advisory bank_media advisory_advisory,"['conference', 'advisory bank', 'media advisory', 'advisory', 'present', 'media', 'bank group', 'speak', 'services conference', 'executive present']","['MEDIA ADVISORY - __TICKER__ Bank Group Executive to Present at the National Bank Financial Services Conference', 'MEDIA ADVISORY - __TICKER__ Bank Group Executive to Present at the __COMPANY__ Global Financial Services Conference', '/R E P E A T -- MEDIA ADVISORY - __TICKER__ Bank Group Executive to Present at the __COMPANY__ Global Financial Services Conference/']"
33,69,33_bullish_wall street_stock wall_wall,"['bullish', 'wall street', 'stock wall', 'wall', 'bullish bearish', 'street', 'bearish', 'street bullish', 'street analysts', 'analysts bullish']","['Is Wall Street Bullish or Bearish on __COMPANY__ Stock?', 'Take-Two Interactive Stock: Is Wall Street Bullish or Bearish?', '__COMPANY__ Stock: Is Wall Street Bullish or Bearish?']"
34,69,34_mortgage_rates_lenders_mortgage rates,"['mortgage', 'rates', 'lenders', 'mortgage rates', 'england', 'bank england', 'halifax', 'rate', 'mortgage costs', 'nationwide']","['Nationwide cuts mortgage rates as other lenders hold or raise deals', 'Lenders follow Bank of England and hold mortgage rates', '__TICKER__ , NatWest, Nationwide and Halifax hike mortgage rates as Bank of England warns of Iran war']"
35,68,35_jamie_jamie dimon_dimon_ceo,"['jamie', 'jamie dimon', 'dimon', 'ceo', 'dimon says', 'ceo jamie', 'says', 'pay', 'economy', 'skunk party']","['__COMPANY__ Chase CEO Jamie Dimon doubles down on return-to-office', '__COMPANY__ Chase CEO Jamie Dimon Sees an End on the Horizon. But Not Yet.', ""Jamie Dimon Says Inflation Could Be 'Skunk at the Party'""]"
36,68,36_china_yuan_stimulus_chinese,"['china', 'yuan', 'stimulus', 'chinese', 'trade', 'global', 'deflation', 'pboc', 'consumer', 'beijing']","['China Consumer Rush for Subsidies Overloads Stimulus Program', ""China's Bank of Ningbo readies digital yuan business as Beijing expands e-CNY"", 'Global Funds Turn More Bullish on China as Stocks and Yuan Rally']"
37,67,37_notes_senior notes_senior_announces,"['notes', 'senior notes', 'senior', 'announces', 'offering', 'subordinated', 'tender', 'floating rate', 'announces pricing', 'notes offering']","['__COMPANY__ Announces Redemption of $2,800,000,000 1.658% Fixed/Floating Rate Senior Notes, Due March 2027', '__COMPANY__ Announces Redemption of Fixed Rate / Floating Rate Callable Senior Notes Due 2026', 'Danaos Corporation Announces Pricing of Senior Notes Offering']"
38,63,38_nvidia_nvidia stock_broadcom_ai,"['nvidia', 'nvidia stock', 'broadcom', 'ai', 'stock', 'nvda', 'nvidia earnings', 'stock rises', 'nvidia nvda', 'chip']","['Nvidia Partner TSMC Stock Reports Strong March Sales. AI Chip Demand Booms Ahead Of Q1 Results.', 'Nvidia Stock Rises After It Wins Meta Deal. Rival Broadcom’s Shares Slide.', 'Nvidia earnings live: Nvidia stock pops as earnings beat, guidance stifles some AI concerns']"
39,58,39_quarter_quarter 2025_results_2025,"['quarter', 'quarter 2025', 'results', '2025', '2025 results', 'reports', 'financial results', 'second quarter', 'fourth quarter', 'fourth']","['__COMPANY__ Reports Fourth Quarter 2025 Financial Results', '__COMPANY__ REPORTS FOURTH QUARTER AND 2025 RESULTS', '__COMPANY__ Reports Fourth Quarter 2025 Results']"
40,58,40_buffett_warren buffett_warren_berkshire,"['buffett', 'warren buffett', 'warren', 'berkshire', 'hathaway', 'berkshire hathaway', 'abel', 'greg abel', 'greg', 'amp quot']","['Warren Buffett has a warning on the banking system', ""Warren Buffett And His Successor Greg Abel Say Berkshire Hathaway Could Hold This $20B Bet For '50 Years Or Forever'"", ""Warren Buffett says he's still making investments for Berkshire Hathaway""]"
41,57,41_week high_52 week_stock hits_52,"['week high', '52 week', 'stock hits', '52', 'stock', 'high', 'hits 52', 'nuscale power', 'nuscale', 'hits']","['__COMPANY__ Mellon Stock Hits 52-Week High: Is This the Right Time to Invest?', '__COMPANY__ Stock Hits 52-Week High: Is It Worth Buying Now?', '__COMPANY__ Hits 52-Week High: Should You Buy the Stock Now?']"
42,56,42_tariff_trump_tariffs_trade,"['tariff', 'trump', 'tariffs', 'trade', 'trump tariffs', 'supreme court', 'supreme', 'court', 'ruling', 'greenland']","[""__COMPANY__ 's hedge fund clients sold the dollar around Supreme Court tariff ruling"", ""Supreme Court ruling throws Trump administration's tariff strategy into flux. What it means for global trade, U.S. economy"", 'Stocks Rebound as Supreme Court Strikes Down President Trump’s Tariffs']"
43,56,43_indexes_equity indexes_equity_market news,"['indexes', 'equity indexes', 'equity', 'market news', 'equity markets', '2026 equity', 'news', 'fall', '2026', 'print']","['US Equity Indexes Fall as Mixed Bank Earnings, Divergent Inflation Print Fail to Lift Risk Sentiment', 'US Equity Indexes Fall as Investors Parse Bank Earnings, Divergent Inflation Print', 'US Equity Indexes Lower After Bank Earnings, Inflation Print']"
44,54,44_overweight_rating_overweight rating_keeps overweight,"['overweight', 'rating', 'overweight rating', 'keeps overweight', 'equal', 'keeps', 'retains', 'equal weight', 'weight', 'retains equal']","['__COMPANY__ Keeps an Overweight Rating on NextEra Energy, Inc. (NEE)', '__COMPANY__ Initiates Bristol Myers (BMY) with Overweight Rating on Pipeline Potential', '__COMPANY__ Keeps an Overweight Rating on Amazon.com, Inc. (AMZN)']"
45,54,45_comments euro_comments_euro_zloty,"['comments euro', 'comments', 'euro', 'zloty', 'poland zloty', 'czech republic', 'hungary', 'czech', 'poland', 'republic']","[""__TICKER__ Comments on Euro, Hungary's Forint, Poland's Zloty, Czech Republic's Koruna"", ""__TICKER__ Comments on Euro, Swiss Franc, Hungary's Forint, Poland's Zloty, Czech Republic's Koruna"", ""__TICKER__ Comments on Euro, Sterling, Hungary's Forint, Poland's Zloty, Czech Republic's Koruna""]"
46,53,46_stocks watch_netflix_watch_warner,"['stocks watch', 'netflix', 'watch', 'warner', 'stocks', 'watch wednesday', 'netflix nflx', 'warner bros', 'nflx', 'paramount']","['Stocks to Watch Wednesday Recap: Amazon, Nvidia, __COMPANY__', 'Stocks to Watch Wednesday Recap: Netflix, __COMPANY__ , Nvidia', 'Stocks to Watch Wednesday: Netflix, __COMPANY__ , __COMPANY__']"
47,52,47_earnings report_earnings_estimates_earnings estimates,"['earnings report', 'earnings', 'estimates', 'earnings estimates', 'beat', 'estimates earnings', 'grow buy', 'report', 'beat earnings', 'earnings expected']","['Why The __COMPANY__ __TICKER__ Could Beat Earnings Estimates Again', 'Will __COMPANY__ __TICKER__ Beat Estimates Again in Its Next Earnings Report?', 'Will The __COMPANY__ __TICKER__ Beat Estimates Again in Its Next Earnings Report?']"
48,52,48_tesla_tesla stock_message_stark,"['tesla', 'tesla stock', 'message', 'stark', 'investors', 'ev', 'warning', 'message investors', 'stark message', 'stock']","['__COMPANY__ has stark message for investors in AI stocks', 'Why __COMPANY__ is warning Tesla stock may crash 60%', '__COMPANY__ has a stark warning on Tesla stock']"
49,52,49_credit suisse_suisse_swx ubsg_ubsg,"['credit suisse', 'suisse', 'swx ubsg', 'ubsg', 'swx', 'group swx', 'swiss', 'suisse integration', 'integration', 'group']","['Is __TICKER__ Group (SWX:UBSG) Still Priced Attractively After The Credit Suisse Integration Story?', 'Assessing __TICKER__ Group (SWX:UBSG) Valuation After Strong Multi‐Year Returns And Credit Suisse Integration Progress', 'Is __TICKER__ Group (SWX:UBSG) Still Attractive After Credit Suisse Integration And Recent Share Pullback']"
50,52,50_wealth_wealth management_awards_management,"['wealth', 'wealth management', 'awards', 'management', 'women', 'client', 'billionaires', 'world billionaires', 'millionaire', 'roles']","['__TICKER__ Research On Affluent Women Could Reshape Wealth Management Growth Narrative', '__COMPANY__ Wealth Management recognized for high-net-worth client service and succession planning at Euromoney Private Banking Awards 2026', '__COMPANY__ Wealth Awards Highlight Wealth Management Role In Growth And Valuation']"
51,51,51_card_credit card_credit_trump,"['card', 'credit card', 'credit', 'trump', 'cap', 'trump credit', 'rate cap', 'card rates', 'card rate', 'rate']","[""Credit card and credit card issuer stocks fell the burn of Trump's call for 10% interest rate cap"", '__COMPANY__ , Visa Stocks Fall After Trump Calls for Credit-Card Rate Cap', 'Financial Stocks Fall After Trump Calls for Credit-Card Rate Cap']"
52,51,52_canadian dollar_canadian_dollar_canada,"['canadian dollar', 'canadian', 'dollar', 'canada', 'bank canada', 'says', 'says canadian', 'sees bank', 'boc', 'sees']","['Canadian Dollar Lags G10 as Markets Fully Price BoC Rate Cut Wednesday', '__TICKER__ Says Bank of Canada Set to Hold Rates on Wednesday Amid Resilient Canadian Dollar', ""__COMPANY__ Comments on Canadian Dollar Ahead of This Week's Bank of Canada Policy Meeting""]"
53,50,53_epstein_lawsuit_jeffrey epstein_jeffrey,"['epstein', 'lawsuit', 'jeffrey epstein', 'jeffrey', 'settle', 'harassment', 'pay 72', '1mdb', 'ties', '72']","['__COMPANY__ Agrees to Settle Lawsuit Over Jeffrey Epstein Ties, U.S. Court Says', '__COMPANY__ to pay $72.5M to settle Epstein-related lawsuit', '__COMPANY__ Agrees to Pay $72.5 Million to Settle Epstein Lawsuit']"
54,50,54_cramer_jim cramer_jim_option activity,"['cramer', 'jim cramer', 'jim', 'option activity', 'says jim', 'activity', 'option', 'noteworthy', 'cramer banco', 'cramer says']","['CrowdStrike (CRWD)’s Killing It, Says Jim Cramer', 'Jim Cramer Says He Would “Stick With __COMPANY__ ”', 'Jim Cramer on __COMPANY__ : “That’s a Winner”']"
55,49,55_stab_notice_stab notice_new issues,"['stab', 'notice', 'stab notice', 'new issues', 'primary new', 'stabilization notice', 'stabilization', 'primary', 'issues', 'pre stab']","['CMA CGM S.A - __COMPANY__ Primary New Issues: STAB Notice - NO STAB Notice', '__COMPANY__ Primary New Issues: NO STAB Notice', '__COMPANY__ Primary New Issues: STAB Notice']"
56,48,56_earnings highlights_2025 earnings_highlights_highlights record,"['earnings highlights', '2025 earnings', 'highlights', 'highlights record', '2025', 'strategic', 'record', 'earnings', 'highlights strong', 'q3 2025']","['__COMPANY__ AG __TICKER__ (Q4 2025) Earnings Call Highlights: Record Profits and Strategic Growth Plans', '__COMPANY__ __TICKER__ Q3 2025 Earnings Call Highlights: Record Profits and Strategic Growth', '__COMPANY__ __TICKER__ Q4 2025 Earnings Call Highlights: Record Profits and Strategic Growth']"
57,48,57_better value_better_value_value stock,"['better value', 'better', 'value', 'value stock', 'vs', 'stock right', 'value option', 'stock better', 'right', 'option']","['LYG vs. __TICKER__ : Which Stock Is the Better Value Option?', '__TICKER__ vs. __TICKER__ : Which Stock Is the Better Value Option?', '__TICKER__ or __TICKER__ : Which Is the Better Value Stock Right Now?']"
58,46,58_fraud_accounts_blackrock_fined,"['fraud', 'accounts', 'blackrock', 'fined', 'scandal', 'lender', 'collapsed', 'libor', 'shadow bank', 'uk']","['Update: Market Chatter: Banks Win Bid to Block $3.2 Billion Foreign Exchange Rigging Lawsuit in UK', 'Market Chatter: __COMPANY__ Froze Accounts of Collapsed UK Mortgage Lender Amid Fraud Concerns', 'Update: Market Chatter: __COMPANY__ Froze Accounts of Collapsed UK Mortgage Lender Amid Fraud Concerns']"
59,46,59_street analyst_calls_analyst calls_analyst,"['street analyst', 'calls', 'analyst calls', 'analyst', 'upgraded wall', 'research', 'street', 'wall street', 'reports', 'wall']","[""Netflix initiated, Palantir upgraded: Wall Street's top analyst calls"", 'Adobe downgraded, Nio upgraded: Wall Street’s top analyst calls', ""Adobe downgraded, Nio upgraded: Wall Street's top analyst calls""]"
60,40,60_ecb_euro_eurozone_eurozone inflation,"['ecb', 'euro', 'eurozone', 'eurozone inflation', 'eur', 'says', 'vs dollar', 'says eurozone', 'eurozone sentiment', 'euro zone']","[""__TICKER__ Says Euro Weakens Vs. U.S. Dollar Ahead of ECB's Thursday Policy Meeting"", '__TICKER__ Says Eurozone Inflation Back at 2% Target, Confirms ECB\'s ""Sweet Spot""', 'Slight Uptick in Eurozone Inflation Makes December Rate Decision ""Easy"" for The ECB, Says __TICKER__']"
61,40,61_facts_broader market_broader_market,"['facts', 'broader market', 'broader', 'market', 'moving average', 'moving', 'average', 'facts note', 'market returns', 'returns facts']","['__COMPANY__ __TICKER__ Outperforms Broader Market: What You Need to Know', '__COMPANY__ Corp Breaks Above 200-Day Moving Average - Bullish for __TICKER__', '__COMPANY__ &amp; Co Breaks Above 200-Day Moving Average - Bullish for __TICKER__']"
62,39,62_workforce_jobs_000 jobs_000,"['workforce', 'jobs', '000 jobs', '000', 'job', 'cuts', 'job cuts', 'plans', 'efficiency', 'cut']","['__COMPANY__ To Reportedly Axe 1,000 Jobs This Week', '__COMPANY__ to Axe 1,000 Jobs This Week: A Push for Efficiency?', '__TICKER__ Plans To Cut 10,000 Jobs Worldwide By 2027 : Report']"
63,39,63_rating_buy rating_buy_reaffirms buy,"['rating', 'buy rating', 'buy', 'reaffirms buy', 'reaffirms', 'ratings', 'kbra assigns', 'kbra', 'assigns', 'carvana']","['KBRA Assigns Preliminary Ratings to __TICKER__ Mortgage-Backed Securities Trust 2026-HE1 (GSMBS 2026-HE1)', 'KBRA Assigns Preliminary Ratings to __TICKER__ Mortgage-Backed Securities Trust 2026-DSC1 (GSMBS 2026-DSC1)', '__TICKER__ Reaffirms Buy Rating for Omnicom (OMC)']"
64,38,64_inga_enxtam inga_enxtam_groep,"['inga', 'enxtam inga', 'enxtam', 'groep', 'groep enxtam', 'inga valuation', 'assessing groep', 'buyback', 'assessing', 'share']","['Is It Too Late To Consider __TICKER__ Groep (ENXTAM:INGA) After Its Strong Multi Year Rally?', 'Assessing __TICKER__ Groep (ENXTAM:INGA) Valuation After __COMPANY__ ’s Downgrade', 'Assessing __TICKER__ Groep (ENXTAM:INGA) Valuation After Recent Share Price Pullback']"
65,37,65_tsb_sabadell_takeover_bbva,"['tsb', 'sabadell', 'takeover', 'bbva', 'banco sabadell', 'bid', 'sabadell tsb', 'unit', 'banco', 'uk']","['Market Chatter: Banco __COMPANY__ Reaches Out to Banco de Sabadell About TSB Takeover', '__COMPANY__ and __COMPANY__ are potential bidders for Banco Sabadell’s TSB unit', ""__COMPANY__ and __COMPANY__ are potential bidders for Banco Sabadell's TSB unit""]"
66,37,66_pre bell_bell_equity futures_traded funds,"['pre bell', 'bell', 'equity futures', 'traded funds', 'pre', 'exchange traded', 'funds equity', 'exchange', 'futures', 'equity']","['Exchange-Traded Funds, Equity Futures Higher Pre-Bell Wednesday Ahead of Nvidia Earnings Report', 'Exchange-Traded Funds, Equity Futures Higher Pre-Bell Tuesday Ahead of Jobs Report', 'Exchange-Traded Funds, Equity Futures Higher Pre-Bell Wednesday Amid Interest Rate Cut Hopes']"
67,36,67_stocks making_biggest moves_making biggest_making,"['stocks making', 'biggest moves', 'making biggest', 'making', 'biggest', 'moves', 'moves midday', 'amp stocks', 'midday', 'moves premarket']","['Stocks making the biggest moves midday: __COMPANY__ , Abercrombie, Vistra, Duolingo and more', 'Stocks making the biggest moves midday: First Solar, Newmont, __COMPANY__ , Nvidia &amp; more', 'Stocks making the biggest moves premarket: __COMPANY__ , __COMPANY__ , Netflix &amp; more']"
